itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:39361,?,1,1,975,Merchant,Etlol,1662909485,Vendor
i:39205,?,1,1,4,Merchant,Etlol,1662909485,Vendor
i:39207,?,2,2,300,Merchant,Etlol,1662909486,Vendor
i:39203,?,1,1,4562,Merchant,Etlol,1662909487,Vendor
i:39201,?,2,2,130,Merchant,Etlol,1662909487,Vendor
i:34659,?,1,1,6,Merchant,Etlol,1662912683,Vendor
i:34653,?,1,1,7,Merchant,Etlol,1662912684,Vendor
i:34656,?,1,1,14,Merchant,Etlol,1662912685,Vendor
i:34657,?,1,1,575,Merchant,Etlol,1662912686,Vendor
i:34658,?,1,1,133,Merchant,Etlol,1662912690,Vendor
i:8766,Morning Glory Dew,1,1,200,Merchant,Etlol,1662917816,Vendor
i:3197:521,?,1,1,9295,Merchant,Etlol,1662917817,Vendor
i:4021,?,1,1,7198,Merchant,Etlol,1662917818,Vendor
i:39356,?,1,1,277,Merchant,Etlol,1662917818,Vendor
i:39360,?,2,2,975,Merchant,Etlol,1662917818,Vendor
i:39357,?,2,2,975,Merchant,Etlol,1662917818,Vendor
i:39351,?,2,2,330,Merchant,Etlol,1662917818,Vendor
i:3971,?,1,1,3811,Merchant,Etlol,1662917818,Vendor
i:4020,?,1,1,11189,Merchant,Etlol,1662917818,Vendor
i:3968,?,1,1,3331,Merchant,Etlol,1662917818,Vendor
i:34648,?,1,1,10,Merchant,Etlol,1662917822,Vendor
i:34651,?,1,1,7,Merchant,Etlol,1662917826,Vendor
i:34650,?,1,1,13,Merchant,Etlol,1662917829,Vendor
i:34649,?,1,1,6,Merchant,Etlol,1662917830,Vendor
i:34655,?,1,1,10,Merchant,Etlol,1662917832,Vendor
i:38147,?,1,1,133,Merchant,Etlol,1662917835,Vendor
