itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:33444,Pungent Seal Whey,5,5,1700,Merchant,Etlol,1610834730,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1610853569,Vendor
i:115500,?,1,1,80000,Merchant,Etlol,1610853571,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1610971931,Vendor
i:171349,Potion of Phantom Fire,7,7,3670300,Wongbank,Etlol,1610102974,Auction
i:172368,Enchant Weapon - Sinful Revelation,1,1,14450000,Aubelia,Etlol,1610983000,Auction
i:172366,Enchant Weapon - Celestial Guidance,1,1,2991700,Loriethien,Etlol,1610983025,Auction
i:172364,Enchant Ring - Tenet of Versatility,1,1,3409000,Hxx,Etlol,1610983150,Auction
i:116397,?,1,1,40000,Merchant,Etlol,1611038323,Vendor
i:116925,?,1,1,2000,Merchant,Etlol,1611047906,Vendor
i:58090,Earthen Potion,1,1,20000,Merchant,Etlol,1611047908,Vendor
i:151609,Tears of the Naaru,1,1,4800,Merchant,Etlol,1611047909,Vendor
i:152550,Sea Mist Potion,1,3,10000,Merchant,Etlol,1611047911,Vendor
i:144410,Barrel-Aged Stormstout,1,1,200,Merchant,Etlol,1611047968,Vendor
i:144411,?,1,1,200,Merchant,Etlol,1611047975,Vendor
i:183858,?,1,1,12150000,Merchant,Etlol,1611048065,Vendor
i:172419,Enchant Boots - Eternal Agility,1,1,5500000,Ssjctail,Etlol,1611048258,Auction
i:172366,Enchant Weapon - Celestial Guidance,1,1,2991500,Mcknuggets,Etlol,1611048307,Auction
i:163548,Kul Tiran Tripel,1,1,52400,Merchant,Etlol,1611049259,Vendor
i:4404,Silver Contact,1,1,80,Merchant,Etlol,1611085621,Vendor
i:116925,?,1,1,2000,Merchant,Etlol,1611086144,Vendor
i:144410,Barrel-Aged Stormstout,1,1,200,Merchant,Etlol,1611086163,Vendor
i:163643,Haustvald 25 Year Runewood Cask,1,1,194900,Merchant,Etlol,1611086167,Vendor
i:163548,Kul Tiran Tripel,1,1,52400,Merchant,Etlol,1611086174,Vendor
i:55689::2:1690:6654:1:9:35,?,1,1,23925,Merchant,Etlol,1611127259,Vendor
i:4404,Silver Contact,1,2,80,Merchant,Etlol,1611153618,Vendor
i:171833,Elethium Ore,3,3,1020700,Valthonus,Etlol,1611155752,Auction
i:171830,Oxxein Ore,200,200,140000,Multiple Sellers,Etlol,1611155772,Auction
i:171832,Sinvyr Ore,200,200,452100,Multiple Sellers,Etlol,1611155787,Auction
i:171831,Phaedrum Ore,200,200,229600,Multiple Sellers,Etlol,1611155798,Auction
